Project_ID,Client_ID,Project_Name,Service_Line_ID,Branch_ID,Project_Manager_ID,Project_Type,Start_Date,Planned_End_Date,Actual_End_Date,Cancellation_Date,Cancellation_Reason,Project_Status,Contract_Value_CAD,Budgeted_Hours,Budgeted_Cost_CAD,Initial_Risk_Level
PRJ-0001,CLT-005,Capstone Software Reporting Modernization,SL-02,BR-003,CON-038,Fixed Fee,2024-06-29,2024-11-19,2024-12-28,,,Completed,67110,576.3,40075.47,Low
PRJ-0002,CLT-026,Northstar Retail Finance Transformation Roadmap,SL-02,BR-004,CON-048,Retainer,2024-05-03,2024-07-25,2024-07-29,,,Completed,106070,994.2,69139.6,Low
PRJ-0003,CLT-072,Atlantic Systems Cloud Readiness Assessment,SL-01,BR-002,CON-056,Fixed Fee,2025-05-29,2025-07-23,,2025-06-21,Scope withdrawn,Cancelled,265140,2657.4,168124.21,High
PRJ-0004,CLT-033,Hudson Telecom Process Automation Sprint,SL-05,BR-001,CON-057,Fixed Fee,2023-10-06,2024-05-19,2024-07-02,,,Completed,260220,1669.1,146337.9,Low
PRJ-0005,CLT-059,Ironwood Logistics Data Quality Remediation,SL-04,BR-002,CON-022,Time & Materials,2025-07-14,2025-12-13,,,,,52170,407.2,34653.69,Medium
PRJ-0006,CLT-033,Hudson Telecom Finance Transformation Roadmap,SL-05,BR-003,CON-057,Time & Materials,2024-12-04,2025-01-10,2025-02-18,,,Completed,148590,1018.7,89316.15,Low
PRJ-0007,CLT-066,Hudson Energy Operating Model Review,SL-06,BR-001,CON-059,Fixed Fee,2025-01-03,2025-07-01,2025-07-30,,,Completed,128650,1359.2,86599.04,Medium
PRJ-0008,CLT-032,Ironwood University Customer Analytics Pilot,SL-03,BR-006,CON-069,Retainer,2025-04-22,2025-07-27,2025-07-30,,,Completed,228590,1807.2,147602.61,Medium
PRJ-0009,CLT-032,Ironwood University Reporting Modernization,SL-05,BR-007,CON-056,Fixed Fee,2024-12-22,2025-06-15,2025-07-23,,,Completed,404690,2576.2,225869.97,Low
PRJ-0010,CLT-066,Hudson Energy Customer Analytics Pilot,SL-02,BR-002,CON-038,Fixed Fee,2023-10-27,2023-12-16,2023-12-22,,,Completed,132320,1173.3,81598.09,Medium
PRJ-0011,CLT-022,Prairie Public Health Customer Analytics Pilot,SL-04,BR-002,CON-036,Fixed Fee,2024-12-09,2025-04-23,2025-06-12,,,Completed,195200,1461.5,124371.56,Medium
PRJ-0012,CLT-002,Evergreen Labs Process Automation Sprint,SL-05,BR-006,CON-056,Fixed Fee,2025-04-01,2025-06-23,,2025-04-19,Client merger/restructure,Cancelled,122000,836.9,73377.11,Medium
PRJ-0013,CLT-052,Highland Hospitality Controls & Compliance Review,SL-02,BR-001,CON-048,Fixed Fee,2025-04-05,2025-06-19,2025-06-04,,,Completed,39900,349.8,24324.5,Medium
PRJ-0014,CLT-031,Birch Retail Finance Transformation Roadmap,SL-06,BR-006,CON-059,Time & Materials,2024-10-15,2025-03-26,2025-04-12,,,Completed,78220,807.4,51443.14,Low
PRJ-0015,CLT-044,Pacific Labs Reporting Modernization,SL-02,BR-002,CON-048,Time & Materials,2024-10-29,2025-02-04,2025-02-09,,,,148410,1262.3,87785.59,Medium
PRJ-0016,CLT-089,Pacific FinServ Process Automation Sprint,SL-04,BR-007,CON-015,Time & Materials,2024-09-23,2025-05-18,2025-06-01,,,Completed,129820,965.5,82162.15,High
PRJ-0017,CLT-051,Silverline Supply Chain Reporting Modernization,SL-03,BR-003,CON-069,Time & Materials,2024-08-21,2024-09-30,,,,In Progress,153010,1126.8,92028.3,Medium
PRJ-0018,CLT-088,BlueRock Supply Chain BI Dashboard Implementation,SL-05,BR-003,CON-056,Fixed Fee,2025-01-03,2025-08-14,2025-08-21,,,Completed,402780,2718.6,238354.43,Low
PRJ-0019,CLT-009,Brightpath Energy Workforce Change Program,SL-05,BR-005,CON-057,Fixed Fee,2023-01-13,2023-02-23,,,,,148310,971.8,85201.87,Low
PRJ-0020,CLT-054,Atlantic Facilities Reporting Modernization,SL-03,BR-008,CON-033,Retainer,2023-05-23,2023-07-17,2023-08-21,,,Completed,185930,1518.3,124006.65,Low
PRJ-0021,CLT-030,Union Manufacturing Data Quality Remediation,SL-05,BR-001,CON-056,Fixed Fee,2023-10-05,2023-11-27,2023-12-31,,,Completed,426010,2844.8,249422.64,Low
PRJ-0022,CLT-009,Brightpath Energy Workforce Change Program,SL-05,BR-003,CON-057,Time & Materials,2023-01-27,2023-09-07,,,,In Progress,101740,641.1,56210.62,Medium
PRJ-0023,CLT-083,Evergreen Partners Controls & Compliance Review,SL-03,BR-002,CON-032,Fixed Fee,2025-07-13,2026-01-07,,,,In Progress,40590,308.8,25222.74,High
PRJ-0024,CLT-074,Capstone Holdings Operating Model Review,SL-04,BR-001,CON-078,Time & Materials,2024-02-07,2024-05-04,2024-05-12,,,Completed,283180,2179.2,185447.62,Medium
PRJ-0025,CLT-095,Greenfield Municipal Services Customer Analytics Pilot,SL-01,BR-003,CON-017,Fixed Fee,2024-06-16,2024-08-31,2024-10-12,,,Completed,248410,2335.2,147740.22,Medium
PRJ-0026,CLT-041,Seaway Energy Data Quality Remediation,SL-04,BR-006,CON-078,Fixed Fee,2024-02-09,2024-04-21,,2024-04-20,Procurement cancelled,Cancelled,228150,1770.5,150671.24,High
PRJ-0027,CLT-050,Brightpath Health Workforce Change Program,SL-01,BR-002,CON-074,Fixed Fee,2025-09-03,2025-11-09,2025-10-28,,,Completed,139830,1286.3,81378.08,Low
PRJ-0028,CLT-044,Pacific Labs Reporting Modernization,SL-01,BR-005,CON-075,Fixed Fee,2024-10-28,2025-04-26,2025-05-21,,,Completed,213560,1977.7,125120.96,Medium
PRJ-0029,CLT-053,Clearwater Telecom BI Dashboard Implementation,SL-04,BR-001,CON-036,Fixed Fee,2024-01-15,2024-09-04,2024-10-19,,,Completed,358440,2820.2,239997.95,Medium
PRJ-0030,CLT-046,Seaway Retail Customer Analytics Pilot,SL-05,BR-006,CON-057,Time & Materials,2025-04-26,2025-12-09,,,,In Progress,228710,1575.9,138167.35,Low
PRJ-0031,CLT-056,Sterling Holdings BI Dashboard Implementation,SL-01,BR-007,CON-074,Time & Materials,2023-04-17,2023-08-26,2023-09-07,,,,117800,1190.6,75322.75,Medium
PRJ-0032,CLT-053,Clearwater Telecom Reporting Modernization,SL-01,BR-002,CON-017,Time & Materials,2025-04-21,2025-10-02,2025-10-24,,,Completed,82290,783.5,49571.03,Medium
PRJ-0033,CLT-075,Sterling Facilities BI Dashboard Implementation,SL-02,BR-007,CON-077,Time & Materials,2024-08-08,2025-01-31,2025-01-20,,,Completed,107960,972.5,67632.62,Low
PRJ-0034,CLT-004,Ontario Retail Operating Model Review,SL-01,BR-002,CON-006,Fixed Fee,2024-08-11,2025-01-21,2025-01-13,,,Completed,138790,1403.7,88805.09,Medium
PRJ-0035,CLT-013,Laurentian Transit Data Quality Remediation,SL-03,BR-003,CON-017,Retainer,2025-10-10,2026-03-17,,,,In Progress,111090,862.9,70473.33,Medium
PRJ-0036,CLT-025,BlueRock Labs Customer Analytics Pilot,SL-05,BR-001,CON-057,Retainer,2023-05-09,2023-06-19,2023-06-24,,,Completed,341520,2231,195603.32,Low
PRJ-0037,CLT-058,Prairie Group Workforce Change Program,SL-03,BR-005,CON-075,Fixed Fee,2023-01-07,2023-03-21,,,,In Progress,275330,2213.1,180753.52,High
PRJ-0038,CLT-006,Cedar Media Reporting Modernization,SL-01,BR-003,CON-033,Fixed Fee,2025-07-30,2026-02-09,,,,In Progress,248770,2323.6,147007.87,Medium
PRJ-0039,CLT-034,Summit Works Customer Analytics Pilot,SL-01,BR-006,CON-075,Fixed Fee,2024-08-28,2025-01-15,2025-02-20,,,Completed,159220,1428,90343.9,High
PRJ-0040,CLT-059,Ironwood Logistics Data Quality Remediation,SL-04,BR-003,CON-074,Fixed Fee,2023-02-05,2023-08-02,,,,In Progress,121700,979.2,83333.3,Low
PRJ-0041,CLT-058,Prairie Group Cloud Readiness Assessment,SL-03,BR-004,CON-033,Time & Materials,2024-01-20,2024-09-09,,2024-03-03,Client merger/restructure,Cancelled,267600,2074.3,169415.12,Low
PRJ-0042,CLT-053,Clearwater Telecom Process Automation Sprint,SL-01,BR-001,CON-069,Retainer,2024-02-05,2024-08-08,2024-08-09,,,Completed,319820,2870.3,181595.73,Low
PRJ-0043,CLT-050,Brightpath Health BI Dashboard Implementation,SL-06,BR-006,CON-059,Fixed Fee,2025-10-02,2026-04-02,,,,In Progress,127220,1292.3,82336.66,Low
PRJ-0044,CLT-058,Prairie Group BI Dashboard Implementation,SL-04,BR-004,CON-022,Fixed Fee,2025-01-22,2025-04-18,2025-04-30,,,Completed,315370,2474.8,210604.4,High
PRJ-0045,CLT-002,Evergreen Labs Operating Model Review,SL-03,BR-006,CON-033,Time & Materials,2025-07-08,2025-10-22,2025-10-18,,,Completed,112290,862.2,70416.43,Low
PRJ-0046,CLT-028,Birch Health Controls & Compliance Review,SL-03,BR-006,CON-033,Time & Materials,2023-01-27,2023-03-16,2023-04-04,,,Completed,72050,564.7,46123.37,High
PRJ-0047,CLT-075,Sterling Facilities Process Automation Sprint,SL-02,BR-007,CON-038,Fixed Fee,2023-04-26,2023-07-03,,,,In Progress,260120,2205.2,153354.48,Low
PRJ-0048,CLT-040,Cedar Holdings Workforce Change Program,SL-05,BR-005,CON-057,Retainer,2024-05-15,2024-07-27,2024-07-27,,,Completed,204160,1329.6,116572.55,Low
PRJ-0049,CLT-021,Evergreen Health Process Automation Sprint,SL-03,BR-004,CON-033,Fixed Fee,2023-09-30,2024-01-09,2024-02-28,,,Completed,82330,680.5,55577.01,High
PRJ-0050,CLT-049,Polar Energy Cloud Readiness Assessment,SL-01,BR-006,CON-032,Fixed Fee,2023-12-10,2024-01-19,,,,In Progress,227190,2155.4,136365.43,Low
PRJ-0051,CLT-042,Hudson Transit Cloud Readiness Assessment,SL-04,BR-006,CON-015,Fixed Fee,2025-09-10,2026-03-07,,,,In Progress,231830,1742.2,148257.51,Low
PRJ-0052,CLT-055,Metro Education Process Automation Sprint,SL-02,BR-006,CON-006,Fixed Fee,2025-09-17,2026-05-15,,,,In Progress,44450,384,26703.25,High
PRJ-0053,CLT-042,Hudson Transit Reporting Modernization,SL-04,BR-006,CON-074,Fixed Fee,2023-07-16,2023-08-21,2023-08-19,,,Completed,186110,1473,125353.69,Low
PRJ-0054,CLT-032,Ironwood University Controls & Compliance Review,SL-04,BR-004,CON-074,Retainer,2024-09-01,2025-01-19,,,,In Progress,276900,2110.8,179632.7,Medium
PRJ-0055,CLT-021,Evergreen Health Customer Analytics Pilot,SL-02,BR-006,CON-038,Retainer,2024-06-25,2025-01-04,2025-01-07,,,Completed,130300,1178.6,81961.48,Low
PRJ-0056,CLT-067,Highland Public Health Finance Transformation Roadmap,SL-05,BR-001,CON-056,Time & Materials,2025-06-30,2026-02-06,,,,In Progress,376110,2349.6,206008.99,Low
PRJ-0057,CLT-004,Ontario Retail Customer Analytics Pilot,SL-01,BR-006,CON-038,Fixed Fee,2024-06-27,2024-10-27,2024-11-03,,,Completed,92830,852.5,53935.34,High
PRJ-0058,CLT-078,Boreal Foods Controls & Compliance Review,SL-02,BR-005,CON-038,Time & Materials,2025-01-24,2025-07-02,2025-07-18,,,Completed,117670,1065.8,74122.53,Low
PRJ-0059,CLT-069,Pacific Public Health Controls & Compliance Review,SL-03,BR-007,CON-032,Fixed Fee,2025-03-20,2025-05-27,2025-06-10,,,Completed,61760,462.6,37779.65,Low
PRJ-0060,CLT-040,Cedar Holdings Workforce Change Program,SL-06,BR-004,CON-059,Fixed Fee,2024-02-27,2024-04-20,2024-04-18,,,Completed,50670,517.8,32988.7,Medium
PRJ-0061,CLT-026,Northstar Retail Finance Transformation Roadmap,SL-02,BR-005,CON-077,Fixed Fee,2024-01-26,2024-08-15,2024-09-13,,,Completed,64720,562.3,39104.96,Low
PRJ-0062,CLT-031,Birch Retail Operating Model Review,SL-02,BR-006,CON-048,Time & Materials,2024-02-06,2024-05-07,2024-05-07,,,Completed,175990,1544.6,107416.47,Low
PRJ-0063,CLT-009,Brightpath Energy Cloud Readiness Assessment,SL-06,BR-004,CON-059,Fixed Fee,2024-09-06,2024-11-12,2024-12-12,,,Completed,221470,2271,144689.78,Medium
PRJ-0064,CLT-024,Granite Analytics Controls & Compliance Review,SL-06,BR-008,CON-059,Time & Materials,2023-03-13,2023-09-05,2023-10-04,,,Completed,41190,445.5,28380.17,Low
PRJ-0065,CLT-072,Atlantic Systems Operating Model Review,SL-04,BR-003,CON-074,Fixed Fee,2023-11-05,2024-05-11,2024-05-09,,,Completed,313210,2447,208236.26,Medium
PRJ-0066,CLT-041,Seaway Energy Cloud Readiness Assessment,SL-03,BR-006,CON-033,Time & Materials,2024-05-29,2024-08-18,2024-10-03,,,Completed,143130,1068.5,87266.95,Medium
PRJ-0067,CLT-027,Ontario Consulting Customer Analytics Pilot,SL-03,BR-001,CON-075,Fixed Fee,2023-08-04,2023-09-09,2023-08-29,,,,257210,2138.2,174640.84,Low
PRJ-0068,CLT-087,Ironwood Partners Cloud Readiness Assessment,SL-03,BR-001,CON-033,Fixed Fee,2024-02-06,2024-05-19,2024-05-13,,,Completed,169720,1256.4,102613.61,High
PRJ-0069,CLT-029,Lakeside Supply Chain Workforce Change Program,SL-03,BR-004,CON-032,Fixed Fee,2025-04-11,2025-08-23,2025-09-26,,,Completed,186330,1415.6,115619.66,Low
PRJ-0070,CLT-082,Aurora Supply Chain Process Automation Sprint,SL-02,BR-001,CON-038,Time & Materials,2024-08-14,2024-11-09,2024-12-14,,,Completed,119160,1129.4,78545.45,High
PRJ-0071,CLT-072,Atlantic Systems Process Automation Sprint,SL-02,BR-001,CON-077,Fixed Fee,2023-03-27,2023-09-19,2023-10-21,,,Completed,281870,2375.3,165184.98,Medium
PRJ-0072,CLT-093,Sterling Telecom Customer Analytics Pilot,SL-02,BR-006,CON-006,Fixed Fee,2023-07-13,2024-01-20,2024-01-16,,,,108420,956.2,66494.5,Low
PRJ-0073,CLT-052,Highland Hospitality BI Dashboard Implementation,SL-05,BR-001,CON-057,Time & Materials,2024-07-10,2025-01-29,2025-03-15,,,Completed,287390,1801.7,157969.98,Medium
PRJ-0074,CLT-087,Ironwood Partners Workforce Change Program,SL-01,BR-002,CON-022,Time & Materials,2023-07-01,2024-02-22,2024-04-06,,,Completed,93390,903.6,57170.44,High
PRJ-0075,CLT-051,Silverline Supply Chain Reporting Modernization,SL-02,BR-003,CON-038,Fixed Fee,2024-07-12,2024-10-17,2024-11-01,,,Completed,293130,2739.9,190540.65,Medium
PRJ-0076,CLT-027,Ontario Consulting Data Quality Remediation,SL-03,BR-002,CON-017,Time & Materials,2023-04-03,2023-06-24,2023-08-11,,,Completed,167060,1362.1,111250.61,Low
PRJ-0077,CLT-026,Northstar Retail Finance Transformation Roadmap,SL-06,BR-005,CON-059,Time & Materials,2023-01-22,2023-09-08,2023-10-10,,,Completed,168520,1846.2,117623.29,Low
PRJ-0078,CLT-005,Capstone Software Workforce Change Program,SL-03,BR-001,CON-075,Time & Materials,2023-08-17,2023-10-25,,2023-09-10,Client merger/restructure,Cancelled,207990,1628.5,133011.03,Low
PRJ-0079,CLT-082,Aurora Supply Chain BI Dashboard Implementation,SL-04,BR-001,CON-074,Time & Materials,2025-01-04,2025-02-10,2025-03-03,,,Completed,323330,2597.3,221026.39,High
PRJ-0080,CLT-019,Ontario Education Controls & Compliance Review,SL-02,BR-002,CON-048,Retainer,2023-12-19,2024-05-04,2024-05-01,,,,50150,420,29210.8,Medium
PRJ-0081,CLT-006,Cedar Media Workforce Change Program,SL-06,BR-003,CON-059,Time & Materials,2025-10-07,2026-05-03,,,,,47980,488.5,31119.77,Low
PRJ-0082,CLT-028,Birch Health Workforce Change Program,SL-06,BR-003,CON-059,Time & Materials,2025-03-31,2025-07-16,2025-07-10,,,Completed,51740,564.3,35950.88,Low
PRJ-0083,CLT-085,Riverbend Telecom Controls & Compliance Review,SL-05,BR-002,CON-056,Fixed Fee,2024-04-07,2024-09-24,2024-09-09,,,Completed,171860,1214.9,106515.84,Low
PRJ-0084,CLT-032,Ironwood University Customer Analytics Pilot,SL-02,BR-006,CON-077,Fixed Fee,2025-08-05,2026-03-06,,,,In Progress,56000,528.2,36734.53,Medium
PRJ-0085,CLT-053,Clearwater Telecom BI Dashboard Implementation,SL-04,BR-002,CON-036,Fixed Fee,2023-10-01,2023-12-22,2024-01-12,,,Completed,279950,2023.8,172228.32,High
PRJ-0086,CLT-011,Birch Education Controls & Compliance Review,SL-03,BR-007,CON-017,Time & Materials,2023-04-14,2023-09-17,2023-10-08,,,Completed,118520,872,71224.13,Medium
PRJ-0087,CLT-031,Birch Retail BI Dashboard Implementation,SL-04,BR-006,CON-078,Fixed Fee,2024-05-26,2024-10-02,2024-11-01,,,Completed,335360,2661.8,226516.14,Medium
