Client_ID,Client_Name,Industry,City,Province,Region,Client_Size,Account_Manager_ID,Client_Start_Date,Active_Status
CLT-001,Cedar Municipal Services,Logistics & Transportation,Toronto,ON,Ontario,Mid-Market,CON-056,2024-10-23,Active
CLT-002,Evergreen Labs,Logistics & Transportation,Montreal,QC,Quebec,Small,CON-033,2020-01-05,Active
CLT-003,Clearwater Consulting,Technology,Montreal,QC,Quebec,Small,CON-077,2016-04-21,Active
CLT-004,Ontario Retail,Government/Public Sector,Mississauga,ON,Ontario,Mid-Market,CON-059,2019-03-26,Active
CLT-005,Capstone Software,Retail,Vancouver,BC,Western Canada,Enterprise,CON-006,2016-11-16,Inactive
CLT-006,Cedar Media,Government/Public Sector,Vancouver,BC,Western Canada,Mid-Market,CON-006,2023-07-08,Active
CLT-007,Lakeside Capital,Education,Halifax,Nova Scotia,Atlantic Canada,Small,CON-036,2024-06-10,Active
CLT-008,Highland Labs,Retail,Montreal,quebec,Quebec,Mid-Market,CON-069,2021-10-10,Active
CLT-009,Brightpath Energy,Government/Public Sector,Edmonton,AB,Prairies,Enterprise,CON-033,2016-10-30,Active
CLT-010,Pinecrest Telecom,Logistics & Transportation,Toronto,ON,Ontario,Mid-Market,CON-057,2018-03-04,Active
CLT-011,Birch Education,Banking & Financial Services,Halifax,NS,Atlantic Canada,Mid-Market,CON-078,2017-01-16,Active
CLT-012,BlueRock University,Technology,Montreal,Quebec,Quebec,Mid-Market,CON-048,2018-04-10,Active
CLT-013,Laurentian Transit,Energy & Utilities,Victoria,British Columbia,Western Canada,Small,CON-048,2017-06-19,Active
CLT-014,Seaway Labs,Banking & Financial Services,Calgary,Alberta,Prairies,Mid-Market,CON-036,2018-01-21,Active
CLT-015,Ontario Group,Banking & Financial Services,Vancouver,british columbia,Western Canada,Mid-Market,CON-059,2016-12-06,Active
CLT-016,Lakeside Works,Technology,Ottawa,ON,Ontario,Mid-Market,CON-078,2023-10-22,Active
CLT-017,Polar University,Energy & Utilities,Montreal,QC,Quebec,Enterprise,CON-017,2019-04-14,Active
CLT-018,Northstar Systems,Banking & Financial Services,Laval,QC,Quebec,Mid-Market,CON-032,2018-11-04,Active
CLT-019,Ontario Education,Technology,Ottawa,Ontario,Ontario,Mid-Market,CON-078,2022-11-10,Active
CLT-020,Cedar Education,Retail,Ottawa,ON,Ontario,Mid-Market,CON-032,2021-10-23,Active
CLT-021,Evergreen Health,Energy & Utilities,Montreal,QC,Quebec,Mid-Market,CON-006,2021-11-29,Active
CLT-022,Prairie Public Health,Technology,Edmonton,AB,Prairies,Mid-Market,CON-032,2019-01-28,Inactive
CLT-023,Highland Consulting,Logistics & Transportation,Toronto,ON,Ontario,Mid-Market,CON-036,2016-08-17,Active
CLT-024,Granite Analytics,Energy & Utilities,Winnipeg,MB,Prairies,Mid-Market,CON-017,2024-05-10,Inactive
CLT-025,BlueRock Labs,Technology,Toronto,ON,Ontario,Enterprise,CON-022,2018-05-17,Active
CLT-026,Northstar Retail,Retail,Calgary,AB,Prairies,Mid-Market,CON-033,2020-08-09,Active
CLT-027,Ontario Consulting,Energy & Utilities,Toronto,ON,Ontario,Enterprise,CON-038,2016-08-11,Active
CLT-028,Birch Health,Technology,Burnaby,BC,Western Canada,Mid-Market,CON-077,2017-02-04,Active
CLT-029,Lakeside Supply Chain,Retail,Calgary,alberta,Prairies,Mid-Market,CON-059,2023-06-22,Active
CLT-030,Union Manufacturing,Education,Mississauga,ON,Ontario,Enterprise,CON-069,2016-12-18,Active
CLT-031,Birch Retail,Banking & Financial Services,Quebec City,quebec,Quebec,Enterprise,CON-032,2022-11-06,Active
CLT-032,Ironwood University,Technology,Quebec City,QC,Quebec,Enterprise,CON-059,2020-12-09,Active
CLT-033,Hudson Telecom,Retail,Toronto,ON,Ontario,Enterprise,CON-059,2023-10-29,Active
CLT-034,Summit Works,Education,Quebec City,Quebec,Quebec,Mid-Market,CON-032,2018-05-09,Active
CLT-035,Evergreen Holdings,Retail,Hamilton,ON,Ontario,Mid-Market,CON-006,2021-01-01,Active
CLT-036,Maple Transit,Technology,Montreal,QC,Quebec,Small,CON-022,2020-02-08,Active
CLT-037,Ontario Utilities,Technology,Calgary,Alberta,Prairies,Enterprise,CON-038,2016-08-23,Active
CLT-038,Birch Group,Retail,Waterloo,ON,Ontario,Small,CON-048,2020-10-13,Active
